;Liczba krajowych banków komercyjnych;Liczba banków spó³dzielczych;Liczba oddzia³ów instytucji kredytowych;Liczba oddzia³ów;   W kraju;   Za granic¹;   W kraju;   Za granic¹;Liczba przedstawicielstw;   W kraju;   Za granic¹;Liczba zatrudnionych
31.12.2009;49;576;18;6 507;6 503;4;7 247;43;113;113;0;175 249
31.01.2010;48;576;19;6 837;6 833;4;7 077;40;35;35;0;173 966
28.02.2010;48;576;20;6 814;6 810;4;7 181;38;35;35;0;174 258
31.03.2010;49;576;20;6 893;6 889;4;6 988;39;46;46;0;175 497
30.04.2010;49;576;20;6 894;6 890;4;7 104;35;51;51;0;176 705
31.05.2010;49;576;20;6 870;6 866;4;6 963;35;36;36;0;176 411
30.06.2010;49;576;20;6 920;6 916;4;6 967;34;36;36;0;176 506
31.07.2010;49;576;21;6 866;6 862;4;6 923;34;30;30;0;176 654
31.08.2010;49;576;21;6 883;6 879;4;7 061;34;28;28;0;177 259
30.09.2010;49;576;21;6 935;6 931;4;7 067;34;31;31;0;177 060
31.10.2010;49;576;22;7 117;6 920;4;7 112;34;31;31;0;177 151
30.11.2010;49;576;21;6 910;6 906;4;7 118;44;28;28;0;177 233
31.12.2010;49;576;21;6 933;6 929;4;7 211;35;28;28;0;176 916
31.01.2011;49;575;21;7 365;7 361;4;7 081;35;28;28;0;177 260
28.02.2011;49;575;21;7 013;7 009;4;7 084;34;31;31;0;177 424
31.03.2011;48;575;21;7 014;7 010;4;7 072;38;28;28;0;177 562
30.04.2011;48;575;21;7 006;7 002;4;7 032;35;45;45;0;177 566
31.05.2011;48;575;21;7 004;7 001;3;6 932;36;30;30;0;177 401
30.06.2011;48;575;22;6 985;6 981;4;6 861;35;29;29;0;177 793
31.07.2011;48;575;22;7 031;7 027;4;6 830;35;28;28;0;178 101
31.08.2011;48;575;22;7 049;7 044;5;6 743;35;33;33;0;177 969
30.09.2011;48;575;21;7 039;7 034;5;6 762;35;33;33;0;177 936
31.10.2011;48;574;21;7 038;7 033;5;6 759;35;277;55;222;176 967
30.11.2011;47;574;22;7 042;7 037;5;6 690;35;32;32;0;177 082
31.12.2011;47;574;21;7 092;7 087;5;6 767;35;27;27;0;176 658
31.01.2012;47;573;21;7 023;7 018;5;6 712;35;32;32;0;176 563
29.02.2012;47;573;21;7 022;7 017;5;6 768;35;33;33;0;176 638
31.03.2012;47;573;21;7 037;7 032;5;6 769;35;26;26;0;176 635
30.04.2012;47;573;21;7 035;7 030;5;6 785;35;26;26;0;176 571
31.05.2012;47;573;21;6 997;6 992;5;6 829;35;27;27;0;176 364
30.06.2012;46;573;23;7 272;7 267;5;6 606;35;26;26;0;176 070
31.07.2012;46;573;23;7 260;7 255;5;6 628;35;34;34;0;175 588
31.08.2012;46;573;23;7 253;7 248;5;6 270;35;33;33;0;175 210
30.09.2012;46;573;24;7 347;7 343;4;6 227;35;33;33;0;175 166
31.10.2012;46;573;24;7 347;7 343;4;6 240;35;22;22;0;175 696
30.11.2012;46;573;25;7 350;7 346;4;6 241;35;19;19;0;175 872
31.12.2012;45;572;25;7 534;7 530;4;4 841;35;3 002;3 002;0;175 071
31.01.2013;43;572;26;7 348;7 344;4;5 002;35;3 047;3 047;0;174 668
28.02.2013;43;572;27;7 486;7 482;4;4 893;35;3 113;3 113;0;174 494
31.03.2013;43;572;28;7 451;7 447;4;4 908;35;3 083;3 083;0;174 481
30.04.2013;43;572;27;7 456;7 452;4;4 917;35;3 077;3 077;0;174 323
31.05.2013;43;572;27;7 412;7 408;4;4 968;35;3 036;3 036;0;173 855
30.06.2013;43;572;27;7 406;7 402;4;4 972;35;3 042;3 042;0;173 663
31.07.2013;42;572;27;7 389;7 385;4;4 986;35;3 020;3 020;0;174 022
31.08.2013;42;572;27;7 388;7 384;4;4 984;35;3 020;3 020;0;174 037
30.09.2013;42;572;28;7 364;7 360;4;4 985;35;2 980;2 980;0;174 347
31.10.2013;42;572;28;7 364;7 360;4;4 971;35;2 941;2 941;0;174 409
