;   Sektor bankowy;      Banki komercyjne;      Oddzia³y;      Banki spó³dzielcze;   Liczba oddzia³ów;      W kraju;      Za granic¹;      W kraju;      Za granic¹;   Liczba przedstawicielstw;      W kraju;      Za granic¹;   Liczba zatrudnionych;;;;;
2018-01;616;35;29;552;6 635;6 630;5;3 761;33;2 975;2 956;19;164 317;;;;;
2018-02;616;35;29;552;6 617;6 612;5;3 758;33;2 987;2 958;29;164 587;;;;;
2018-03;616;35;29;552;6 598;6 593;5;3 700;33;2 992;2 963;29;165 015;;;;;
2018-04;615;35;29;551;6 584;6 579;5;3 693;33;2 993;2 959;34;164 932;;;;;
2018-05;615;35;29;551;6 562;6 557;5;3 687;33;2 995;2 961;34;164 814;;;;;
2018-06;614;35;29;550;6 547;6 542;5;3 842;33;2 940;2 905;35;165 178;;;;;
2018-07;614;35;29;550;6 505;6 500;5;3 667;34;2 938;2 899;39;164 312;;;;;
2018-08;613;34;29;550;6 474;6 469;5;3 655;34;2 948;2 904;44;164 348;;;;;
2018-09;613;34;29;550;6 458;6 453;5;3 651;34;2 955;2 915;40;163 547;;;;;
2018-10;613;33;30;550;6 405;6 400;5;3 644;33;2 954;2 914;40;163 374;;;;;
2018-11;613;32;31;550;6 345;6 340;5;3 604;33;2 965;2 926;39;163 260;;;;;
2018-12;612;32;31;549;6 271;6 266;5;3 655;33;3 310;3 267;43;162 565;;;;;
2019-01;610;32;31;547;6 260;6 255;5;3 638;33;3 308;3 258;50;161 959;;;;;
2019-02;610;32;31;547;6 179;6 174;5;3 629;33;3 297;3 245;52;161 636;;;;;
2019-03;610;32;31;547;6 117;6 112;5;3 614;33;3 288;3 236;52;161 312;;;;;
2019-04;608;31;32;545;6 102;6 097;5;3 604;33;3 281;3 229;52;160 945;;;;;
2019-05;608;31;32;545;6 076;6 071;5;3 603;33;3 278;3 225;53;160 459;;;;;
2019-06;608;31;32;545;6 001;5 996;5;3 600;33;3 133;3 076;57;159 886;;;;;
2019-07;606;31;32;543;5 981;5 976;5;3 584;33;3 110;3 055;55;159 059;;;;;
2019-08;606;31;32;543;5 967;5 963;4;3 569;32;3 083;3 030;53;158 966;;;;;
2019-09;605;31;33;541;5 946;5 942;4;3 557;34;3 042;2 989;53;158 361;;;;;
2019-10;602;30;33;539;6 166;6 162;4;3 316;37;3 250;3 197;53;158 066;;;;;
2019-11;601;30;32;539;6 147;6 143;4;3 317;37;3 251;3 198;53;157 476;;;;;
2019-12;600;30;32;538;6 120;6 115;5;3 231;37;3 620;3 567;53;156 887;;;;;
2020-01;599;30;33;536;6 102;6 097;5;3 209;38;3 602;3 549;53;156 403;;;;;
2020-02;598;30;33;535;6 070;6 065;5;3 207;39;3 523;3 468;55;156 049;;;;;
2020-03;598;30;33;535;6 028;6 023;5;3 181;40;3 542;3 487;55;155 658;;;;;
2020-04;598;30;33;535;6 005;6 000;5;3 171;40;3 476;3 421;55;155 190;;;;;
2020-05;598;30;33;535;5 979;5 974;5;3 152;40;3 434;3 379;55;154 491;;;;;
2020-06;596;30;33;533;5 882;5 877;5;3 072;40;3 455;3 402;53;153 531;;;;;
2020-07;597;30;34;533;5 803;5 798;5;3 027;41;3 428;3 375;53;152 477;;;;;
2020-08;597;30;34;533;5 774;5 769;5;3 004;41;3 417;3 364;53;151 304;;;;;
2020-09;597;30;34;533;5 714;5 708;6;2 952;41;3 408;3 355;53;150 716;;;;;
2020-10;596;30;36;530;5 679;5 674;5;2 921;42;3 366;3 313;53;149 970;;;;;
2020-11;596;30;36;530;5 619;5 614;5;2 884;42;3 349;3 296;53;149 895;;;;;
2020-12;596;30;36;530;5 551;5 546;5;2 859;42;3 305;3 252;53;149 003;;;;;
2021-01;594;29;36;529;5 505;5 500;5;2 838;43;3 246;3 193;53;148 477;;;;;
